consecutive_number,f0_,f1_,f2_,f3_,f4_,f5_,f6_,f7_,f8_,f9_,f10_,f11_,f12_,f13_,f14_,f15_
121570,Florida,Urban,2016-07-21T19:37:00Z,Daylight,26.27501111,-80.12518889,Dry,Not Reported,Straight,Level,No,57,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
63236,California,Urban,2016-11-23T06:43:00Z,Daylight,34.04844444,-118.44804167,Dry,Concrete,Curve Left,Downhill,No,65,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
10135,Alabama,Rural,2016-04-02T13:25:00Z,Daylight,32.54537222,-86.45321389,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
61469,California,Urban,2016-07-01T19:38:00Z,Daylight,37.55438889,-122.02913889,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,60,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122434,Florida,Urban,2016-11-08T09:15:00Z,Daylight,27.71602778,-82.67934444,Dry,Not Reported,Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
270204,Minnesota,Urban,2016-08-10T17:06:00Z,Daylight,43.87528889,-93.27681389,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
481226,Texas,Urban,2016-05-13T12:11:00Z,Daylight,32.91468333,-96.95434444,Dry,Not Reported,Straight,Level,"Yes, Exceeded Speed Limit",96,Not Distracted,None/Apparently Normal,"Rain, Snow, Fog, Smoke, Sand, Dust",Clear
122733,Florida,Urban,2016-12-04T19:00:00Z,Dark – Lighted,30.41211944,-81.56491111,Dry,Not Reported,Straight,Level,No,65,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
61863,California,Rural,2016-09-18T02:24:00Z,Dark – Lighted,38.51097778,-121.77945833,Dry,Concrete,Straight,Level,No,65,Not Distracted,Asleep or Fatigued,No Obstruction Noted,Clear
420727,Pennsylvania,Rural,2016-10-17T23:35:00Z,Dark – Lighted,39.98065,-75.206075,Dry,"Blacktop, Bituminous, or Asphalt",Curve Left,Level,"Yes, Specifics Unknown",90,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
421069,Pennsylvania,Rural,2016-12-02T12:52:00Z,Daylight,41.061175,-77.211125,Dry,"Blacktop, Bituminous, or Asphalt",Curve Left,Uphill,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
80391,Colorado,Rural,2016-09-17T18:54:00Z,Dark – Not Lighted,39.21618056,-104.87595833,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
490196,Utah,Rural,2016-10-06T15:40:00Z,Daylight,38.70997222,-112.13740833,Dry,Concrete,Straight,Level,No,80,Other Cellular Phone Related,None/Apparently Normal,No Obstruction Noted,Clear
560047,Wyoming,Rural,2016-07-22T16:19:00Z,Daylight,41.5959,-104.8671,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,80,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
61290,California,Rural,2016-08-08T09:20:00Z,Daylight,36.71913056,-120.684025,Dry,Concrete,Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
390256,Ohio,Rural,2016-05-06T17:00:00Z,Daylight,40.33317778,-82.88678889,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
550455,Wisconsin,Rural,2016-11-07T03:10:00Z,Dark – Not Lighted,43.53240278,-89.57536667,Dry,Concrete,Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
10828,Alabama,Rural,2016-06-25T15:50:00Z,Daylight,32.95208611,-87.838925,Dry,"Blacktop, Bituminous, or Asphalt",Curve Right,Level,No,75,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
450205,South Carolina,Rural,2016-02-19T17:40:00Z,Dusk,32.82113056,-80.75358333,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
10245,Alabama,Rural,2016-05-06T03:45:00Z,Dark – Not Lighted,33.85751667,-87.36766667,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,50,Smoking Related,None/Apparently Normal,No Obstruction Noted,Clear
120197,Florida,Rural,2016-03-14T16:25:00Z,Daylight,27.10637778,-82.29870556,Dry,Not Reported,Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
490105,Utah,Rural,2016-06-18T21:22:00Z,Dusk,41.90281667,-112.581775,Dry,"Blacktop, Bituminous, or Asphalt",Curve Right,"Grade, Unknown Slope",No,83,While Using or Reaching For Device/Object Brought Into Vehicle,None/Apparently Normal,No Obstruction Noted,Clear
490179,Utah,Rural,2016-09-07T19:02:00Z,Dusk,40.72628611,-113.17218056,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,80,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
390831,Ohio,Rural,2016-10-11T06:02:00Z,Dark – Not Lighted,39.95383611,-82.12169722,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
40030,Arizona,Rural,2016-01-09T21:22:00Z,Dark – Not Lighted,33.08509722,-111.81695278,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,75,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
420345,Pennsylvania,Rural,2016-05-30T08:15:00Z,Daylight,41.1781,-79.69444722,Dry,"Blacktop, Bituminous, or Asphalt",Curve Left,Downhill,"Yes, Specifics Unknown",90,Not Distracted,Asleep or Fatigued,No Obstruction Noted,Clear
320177,Nevada,Rural,2016-08-02T20:10:00Z,Dark – Not Lighted,36.41572778,-114.87004444,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Downhill,"Yes, Exceeded Speed Limit",90,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
121043,Florida,Urban,2016-05-05T16:50:00Z,Daylight,26.04091667,-80.1635,Dry,Not Reported,Straight,Level,"Yes, Too Fast for Conditions",85,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
40769,Arizona,Urban,2016-11-18T16:54:00Z,Daylight,31.79021944,-111.021575,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,75,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
270133,Minnesota,Urban,2016-06-11T18:12:00Z,Daylight,45.26203056,-93.01268056,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,60,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
121084,Florida,Urban,2016-05-08T19:02:00Z,Daylight,30.46581111,-81.64783611,Dry,Not Reported,Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
121943,Florida,Urban,2016-08-03T16:59:00Z,Daylight,30.4383,-81.72461111,Dry,Not Reported,Straight,Level,No,65,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
121784,Florida,Urban,2016-04-25T16:43:00Z,Daylight,27.81364722,-82.66453611,Dry,Not Reported,Straight,Level,No,65,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
62181,California,Urban,2016-10-10T18:33:00Z,Dark – Not Lighted,34.25881944,-118.43710556,Dry,Concrete,Straight,Level,"Yes, Too Fast for Conditions",70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
490059,Utah,Urban,2016-02-08T22:50:00Z,Dark – Unknown Lighting,40.88844722,-111.89663333,Dry,"Blacktop, Bituminous, or Asphalt",Curve Right,"Grade, Unknown Slope",No,70,"Distracted by Outside Person, Object or Event",None/Apparently Normal,No Obstruction Noted,Clear
10045,Alabama,Urban,2016-02-07T17:15:00Z,Dusk,33.991225,-86.09200556,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,"Yes, Exceeded Speed Limit",80,Not Distracted,Asleep or Fatigued,No Obstruction Noted,Clear
220069,Louisiana,Urban,2016-02-08T08:15:00Z,Daylight,30.58839722,-90.50521111,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,"Inattention (Inattentive), Details Unknown",None/Apparently Normal,No Obstruction Noted,Clear
120078,Florida,Urban,2016-01-29T23:20:00Z,Dark – Lighted,30.25305556,-81.51166667,Dry,Not Reported,Curve Right,Downhill,No,65,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
210559,Kentucky,Urban,2016-10-01T16:35:00Z,Daylight,38.93155833,-84.63090833,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,"Yes, Exceeded Speed Limit",80,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
371004,North Carolina,Urban,2016-10-16T15:46:00Z,Daylight,36.05913333,-79.66135556,Dry,"Blacktop, Bituminous, or Asphalt",Straight,"Grade, Unknown Slope",No,65,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
121418,Florida,Urban,2016-06-18T11:58:00Z,Daylight,26.70608056,-80.0785,Dry,Not Reported,Straight,Level,No,50,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
61048,California,Rural,2016-06-26T23:15:00Z,Dark – Not Lighted,35.23866944,-116.09800278,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,80,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
490140,Utah,Rural,2016-07-25T07:35:00Z,Daylight,41.91651111,-112.62080556,Dry,Concrete,Curve Left,"Grade, Unknown Slope",No,80,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122005,Florida,Rural,2016-09-16T04:34:00Z,Dark – Not Lighted,30.35311389,-83.04047778,Dry,Not Reported,Straight,Level,No,60,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
490176,Utah,Rural,2016-09-12T13:19:00Z,Daylight,37.53758333,-113.20461111,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,"Ill, Blackout",No Obstruction Noted,Clear
300166,Montana,Rural,2016-11-26T03:08:00Z,Dark – Not Lighted,47.01595,-114.73386111,Wet,"Blacktop, Bituminous, or Asphalt",Curve Right,Level,No,61,Other Cellular Phone Related,None/Apparently Normal,No Obstruction Noted,Clear
61207,California,Rural,2016-06-10T01:00:00Z,Dark – Not Lighted,37.26456944,-121.09334722,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Uphill,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
320033,Nevada,Rural,2016-02-26T08:57:00Z,Daylight,36.66553889,-114.56183056,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,67,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
120369,Florida,Rural,2016-03-23T18:02:00Z,Daylight,26.15527778,-81.30083333,Dry,Not Reported,Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Cloudy
122396,Florida,Rural,2016-11-04T16:00:00Z,Daylight,26.99465833,-80.19515,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Cloudy
490116,Utah,Rural,2016-06-09T11:42:00Z,Daylight,39.02748056,-112.30096667,Dry,"Blacktop, Bituminous, or Asphalt",Straight,"Grade, Unknown Slope",No,75,Not Distracted,None/Apparently Normal,No Obstruction Noted,Cloudy
560048,Wyoming,Rural,2016-07-22T10:39:00Z,Daylight,41.7817,-107.3543,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Uphill,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
320155,Nevada,Rural,2016-07-26T18:43:00Z,Daylight,36.75605833,-114.37942222,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Uphill,No,80,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
210407,Kentucky,Urban,2016-07-31T00:58:00Z,Dark – Lighted,39.05430833,-84.43667778,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Downhill,"Yes, Exceeded Speed Limit",135,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
460090,South Dakota,Rural,2016-10-31T07:23:00Z,Daylight,44.11044167,-102.91234444,Dry,Concrete,Straight,Level,"Yes, Exceeded Speed Limit",104,Not Distracted,Asleep or Fatigued,No Obstruction Noted,Clear
370812,North Carolina,Rural,2016-08-21T14:03:00Z,Daylight,34.55219444,-77.89401111,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
450731,South Carolina,Rural,2016-10-21T05:58:00Z,Dark – Not Lighted,33.90041944,-81.3442,Dry,Not Reported,Straight,"Grade, Unknown Slope",No,70,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
490128,Utah,Rural,2016-06-16T18:05:00Z,Daylight,38.7566,-111.44016111,Dry,"Blacktop, Bituminous, or Asphalt",Curve Left,"Grade, Unknown Slope",No,65,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
560011,Wyoming,Rural,2016-03-26T07:36:00Z,Daylight,41.3564,-110.339,Ice/Frost,"Blacktop, Bituminous, or Asphalt",Straight,Level,"Yes, Too Fast for Conditions",75,Not Distracted,None/Apparently Normal,No Obstruction Noted,Snow
80550,Colorado,Rural,2016-12-26T05:53:00Z,Dark – Not Lighted,39.39111111,-108.13027778,Ice/Frost,"Blacktop, Bituminous, or Asphalt",Curve Left,Uphill,"Yes, Too Fast for Conditions",65,Not Distracted,None/Apparently Normal,No Obstruction Noted,Snow
320200,Nevada,Urban,2016-08-23T11:43:00Z,Daylight,36.17901667,-115.14693611,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,35,Not Distracted,None/Apparently Normal,"Curve, Hill, or Other Roadway Design Features",Cloudy
550160,Wisconsin,Urban,2016-05-14T14:12:00Z,Daylight,44.29864167,-88.27193889,Dry,Concrete,Curve Right,Downhill,"Yes, Exceeded Speed Limit",70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Cloudy
40826,Arizona,Rural,2016-12-24T15:45:00Z,Daylight,32.80328611,-111.66178889,Wet,"Blacktop, Bituminous, or Asphalt",Straight,Level,"Yes, Too Fast for Conditions",70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Rain
220424,Louisiana,Rural,2016-07-28T14:54:00Z,Daylight,30.84014444,-92.22921389,Wet,"Blacktop, Bituminous, or Asphalt",Curve Left,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Rain
121853,Florida,Rural,2016-08-30T18:01:00Z,Daylight,28.30553333,-81.57251111,Wet,Not Reported,Curve Right,Uphill,No,55,Not Distracted,None/Apparently Normal,No Obstruction Noted,Rain
550155,Wisconsin,Urban,2016-05-10T04:00:00Z,Dark – Not Lighted,43.87145278,-91.15214722,Wet,"Blacktop, Bituminous, or Asphalt",Curve Right,"Grade, Unknown Slope",No,70,"Distraction (Distracted), Details Unknown","Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Rain
420518,Pennsylvania,Rural,2016-06-07T00:44:00Z,Dark – Not Lighted,39.82374167,-80.10310556,Wet,"Blacktop, Bituminous, or Asphalt",Straight,Level,"Yes, Too Fast for Conditions",70,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Rain
80334,Colorado,Urban,2016-08-24T15:15:00Z,Daylight,39.82653333,-104.94805556,Wet,Concrete,Curve Right,Downhill,No,55,"Distraction (Distracted), Details Unknown",None/Apparently Normal,No Obstruction Noted,Rain
61827,California,Rural,2016-08-26T11:25:00Z,Daylight,35.19648611,-116.1326,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,75,Not Distracted,None/Apparently Normal,No Obstruction Noted,Cloudy
120668,Florida,Urban,2016-03-31T19:34:00Z,Dusk,28.70796111,-81.38026389,Dry,Not Reported,Straight,Level,No,70,"Inattention (Inattentive), Details Unknown",None/Apparently Normal,No Obstruction Noted,Cloudy
390405,Ohio,Urban,2016-06-22T10:54:00Z,Daylight,39.95366944,-82.96325,Dry,"Blacktop, Bituminous, or Asphalt",Straight,"Grade, Unknown Slope",No,60,Not Distracted,None/Apparently Normal,No Obstruction Noted,Cloudy
61363,California,Urban,2016-06-16T00:30:00Z,Dark – Lighted,33.16128056,-117.3415,Dry,Not Reported,Straight,Level,No,75,Not Distracted,None/Apparently Normal,No Obstruction Noted,Cloudy
490099,Utah,Rural,2016-06-09T05:18:00Z,Dawn,41.82003611,-112.41717778,Dry,Concrete,Curve Right,"Grade, Unknown Slope",No,65,"Distraction (Distracted), Details Unknown",Asleep or Fatigued,No Obstruction Noted,Cloudy
122588,Florida,Urban,2016-11-25T14:45:00Z,Daylight,30.31513056,-81.76913056,Dry,Not Reported,Straight,Level,"Yes, Exceeded Speed Limit",84,Not Distracted,None/Apparently Normal,No Obstruction Noted,Cloudy
370203,North Carolina,Urban,2016-01-26T18:34:00Z,Dark – Lighted,36.08395278,-79.97067778,Wet,"Blacktop, Bituminous, or Asphalt",Straight,Level,"Yes, Exceeded Speed Limit",70,"Inattention (Inattentive), Details Unknown",None/Apparently Normal,No Obstruction Noted,Cloudy
40027,Arizona,Rural,2016-01-13T13:43:00Z,Daylight,33.54366111,-113.18451111,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,75,Not Distracted,Asleep or Fatigued,No Obstruction Noted,Cloudy
300146,Montana,Rural,2016-10-11T07:15:00Z,Daylight,45.895825,-111.49685,Ice/Frost,"Blacktop, Bituminous, or Asphalt",Straight,Downhill,"Yes, Too Fast for Conditions",75,Not Distracted,None/Apparently Normal,No Obstruction Noted,Cloudy
320067,Nevada,Urban,2016-05-05T20:48:00Z,Dark – Lighted,36.06347778,-115.18426111,Dry,"Blacktop, Bituminous, or Asphalt",Curve Right,Level,No,65,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Cloudy
121605,Florida,Rural,2016-07-24T08:00:00Z,Daylight,28.66786111,-82.14314722,Dry,Not Reported,Straight,Uphill,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
360736,New York,Rural,2016-10-30T09:03:00Z,Daylight,43.23325833,-73.69203889,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,Asleep or Fatigued,No Obstruction Noted,Clear
60763,California,Rural,2016-04-22T16:30:00Z,Daylight,36.47135,-120.42731111,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,75,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
10929,Alabama,Rural,2016-12-10T13:40:00Z,Daylight,33.09399167,-87.67173889,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,Other Physical Impairment,No Obstruction Noted,Clear
120139,Florida,Rural,2016-02-05T11:37:00Z,Daylight,30.34391111,-83.08923889,Dry,"Blacktop, Bituminous, or Asphalt",Curve Right,Downhill,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
370332,North Carolina,Rural,2016-04-10T01:59:00Z,Dark – Not Lighted,36.04049444,-79.11048611,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,65,While Manipulating Cellular Phone,None/Apparently Normal,No Obstruction Noted,Clear
210194,Kentucky,Rural,2016-04-29T12:55:00Z,Daylight,38.38505833,-84.57401389,Dry,"Blacktop, Bituminous, or Asphalt",Straight,"Grade, Unknown Slope",No,63,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
560067,Wyoming,Rural,2016-08-24T12:25:00Z,Daylight,41.5282,-109.4243,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,77,Other Cellular Phone Related,None/Apparently Normal,No Obstruction Noted,Clear
62011,California,Rural,2016-07-15T15:15:00Z,Daylight,38.65491944,-121.95175833,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,"Yes, Too Fast for Conditions",80,While Talking or Listening to Cellular Phone,None/Apparently Normal,No Obstruction Noted,Clear
61847,California,Urban,2016-08-29T05:10:00Z,Dawn,34.11769722,-117.84633056,Dry,Not Reported,Curve Right,Level,No,63,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
10592,Alabama,Urban,2016-09-24T21:10:00Z,Dark – Lighted,30.65560278,-88.06584167,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Hillcrest,No,65,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122518,Florida,Urban,2016-11-18T23:35:00Z,Dark – Lighted,25.81216389,-80.24294167,Dry,Not Reported,Curve Right,Level,No,50,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
550170,Wisconsin,Urban,2016-05-23T14:24:00Z,Daylight,43.22946944,-87.92001944,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
62036,California,Urban,2016-11-08T15:35:00Z,Daylight,33.78964167,-118.097825,Dry,Concrete,Straight,Level,"Yes, Too Fast for Conditions",55,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
50089,Arkansas,Urban,2016-03-19T00:00:00Z,Dark – Not Lighted,33.50780833,-93.94886389,Wet,"Blacktop, Bituminous, or Asphalt",Straight,Level,No Driver Present/Unknown if Driver Present,0,Not Distracted,None/Apparently Normal,Other Visual Obstruction,Rain
122006,Florida,Rural,2016-09-17T08:30:00Z,Daylight,30.25316111,-82.50143889,Dry,Not Reported,Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
480747,Texas,Urban,2016-03-27T00:40:00Z,Dark – Lighted,32.76016389,-97.028225,Dry,Not Reported,Curve Right,"Grade, Unknown Slope","Yes, Exceeded Speed Limit",120,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
350030,New Mexico,Rural,2016-02-06T19:39:00Z,Dark – Not Lighted,36.054925,-104.692225,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,55,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
490092,Utah,Urban,2016-05-13T13:57:00Z,Daylight,40.50040833,-111.89124444,Dry,Concrete,Curve – Unknown Direction,"Grade, Unknown Slope","Yes, Too Fast for Conditions",30,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
270318,Minnesota,Urban,2016-11-18T04:38:00Z,Dark – Not Lighted,45.26033611,-93.01451389,Dry,Concrete,Curve Left,Level,No,70,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Cloudy
320046,Nevada,Urban,2016-04-02T07:48:00Z,Daylight,36.14422222,-115.17128333,Dry,"Blacktop, Bituminous, or Asphalt",Curve – Unknown Direction,Uphill,No,55,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
61511,California,Rural,2016-05-16T19:22:00Z,Daylight,34.75732778,-117.16168889,Dry,Concrete,Straight,Uphill,"Yes, Exceeded Speed Limit",90,Not Distracted,None/Apparently Normal,Other Visual Obstruction,Clear
220630,Louisiana,Rural,2016-10-16T15:07:00Z,Daylight,30.47475278,-90.72394167,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
120875,Florida,Urban,2016-04-29T13:22:00Z,Daylight,26.234,-80.13621389,Dry,Not Reported,Straight,Downhill,No,65,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
63015,California,Rural,2016-09-16T01:22:00Z,Dark – Not Lighted,33.91333889,-118.37028611,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
10521,Alabama,Rural,2016-09-04T04:10:00Z,Dark – Not Lighted,33.59148889,-86.1591,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
390901,Ohio,Urban,2016-11-04T14:20:00Z,Daylight,40.002375,-82.92181944,Dry,"Blacktop, Bituminous, or Asphalt",Straight,"Grade, Unknown Slope",No Driver Present/Unknown if Driver Present,0,No Driver Present/Unknown if Driver Present,Other Physical Impairment,No Obstruction Noted,Clear
483358,Texas,Urban,2016-11-29T18:46:00Z,Dark – Lighted,31.76852778,-106.50903333,Dry,Not Reported,Straight,"Grade, Unknown Slope",No Driver Present/Unknown if Driver Present,0,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
121297,Florida,Urban,2016-06-02T23:55:00Z,Dark – Lighted,26.27501111,-80.12518889,Dry,Not Reported,Straight,Level,No,65,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
220037,Louisiana,Urban,2016-01-19T19:15:00Z,Dark – Not Lighted,30.28648056,-89.74881944,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Hillcrest,No,70,Not Distracted,None/Apparently Normal,"Curve, Hill, or Other Roadway Design Features",Clear
481651,Texas,Urban,2016-01-01T05:24:00Z,Dark – Not Lighted,32.8775,-96.5157,Dry,Not Reported,Straight,Level,No,0,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
180121,Indiana,Urban,2016-02-13T03:39:00Z,Dark – Lighted,41.610725,-87.44984167,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No Driver Present/Unknown if Driver Present,0,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122486,Florida,Urban,2016-11-27T01:30:00Z,Dark – Lighted,28.05095278,-82.45538333,Dry,Not Reported,Straight,Level,No,45,"Inattention (Inattentive), Details Unknown","Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
60540,California,Urban,2016-04-06T03:20:00Z,Dark – Not Lighted,33.12611944,-117.32435,Dry,Concrete,Straight,Level,No,72,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
60789,California,Urban,2016-03-30T06:00:00Z,Dark – Not Lighted,34.03698333,-118.30099167,Dry,Concrete,Straight,Level,No,60,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
483307,Texas,Urban,2016-12-10T02:27:00Z,Dark – Lighted,29.90541111,-95.41221389,Dry,Concrete,Straight,"Grade, Unknown Slope",No Driver Present/Unknown if Driver Present,0,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
10593,Alabama,Urban,2016-09-29T21:05:00Z,Dark – Lighted,30.70692222,-88.12231944,Dry,Concrete,Straight,Downhill,No Driver Present/Unknown if Driver Present,0,No Driver Present/Unknown if Driver Present,None/Apparently Normal,No Obstruction Noted,Clear
122435,Florida,Urban,2016-11-16T23:37:00Z,Dark – Lighted,27.96096111,-82.45388889,Dry,Not Reported,Straight,Level,No,55,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
160201,Idaho,Urban,2016-11-10T00:03:00Z,Dark – Not Lighted,43.55711389,-116.18176944,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No Driver Present/Unknown if Driver Present,0,No Driver Present/Unknown if Driver Present,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
370183,North Carolina,Urban,2016-03-06T04:03:00Z,Dark – Not Lighted,35.30699444,-80.69548611,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,70,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
40323,Arizona,Urban,2016-05-30T20:41:00Z,Dark – Lighted,33.28214444,-111.96824444,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,65,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
61878,California,Urban,2016-11-02T20:50:00Z,Dark – Lighted,33.56411111,-117.20551944,Dry,Concrete,Straight,Level,No,65,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
