consecutive_number,f0_,f1_,f2_,f3_,f4_,f5_,f6_,f7_,f8_,f9_,f10_,f11_,f12_,f13_,f14_,f15_
120306,Florida,Urban,2016-03-18T20:42:00Z,Dark – Not Lighted,27.96222222,-82.06401389,Dry,Not Reported,Curve Right,Level,No,35,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
420895,Pennsylvania,Rural,2016-08-10T10:44:00Z,Daylight,40.667775,-75.48854722,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,No,15,"Distraction (Distracted), Details Unknown",None/Apparently Normal,No Obstruction Noted,Clear
360668,New York,Rural,2016-10-06T21:22:00Z,Dark – Not Lighted,42.73976389,-78.59858333,Dry,"Blacktop, Bituminous, or Asphalt",Straight,Level,"Yes, Specifics Unknown",79,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122260,Florida,Urban,2016-10-14T23:00:00Z,Dark – Not Lighted,28.66075,-81.27503056,Dry,Not Reported,Straight,Level,No,45,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
120631,Florida,Urban,2016-03-30T13:40:00Z,Daylight,28.99598889,-80.96686111,Dry,Not Reported,Curve Right,Level,"Yes, Exceeded Speed Limit",50,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122274,Florida,Rural,2016-10-22T23:39:00Z,Dark – Not Lighted,30.56048611,-81.54749444,Dry,Not Reported,Curve Right,Level,No,70,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
120895,Florida,Urban,2016-04-26T00:15:00Z,Dark – Lighted,26.64838889,-81.84024167,Wet,Not Reported,Straight,Level,No,50,Not Distracted,None/Apparently Normal,No Obstruction Noted,Cloudy
120054,Florida,Rural,2016-02-01T23:20:00Z,Dark – Not Lighted,29.25222222,-82.13361111,Dry,Not Reported,Curve Left,Level,"Yes, Exceeded Speed Limit",100,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Cloudy
120062,Florida,Urban,2016-01-10T03:50:00Z,Dark – Lighted,28.37277778,-81.37777778,Wet,Not Reported,Curve Right,Level,"Yes, Too Fast for Conditions",120,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Cloudy
420023,Pennsylvania,Rural,2016-01-12T15:30:00Z,Daylight,41.52098056,-75.29175,Snow,"Blacktop, Bituminous, or Asphalt",Curve Left,Level,"Yes, Too Fast for Conditions",30,Not Distracted,None/Apparently Normal,No Obstruction Noted,Snow
121036,Florida,Urban,2016-05-06T01:30:00Z,Dark – Lighted,26.89053889,-82.19051944,Dry,Not Reported,Straight,Level,No,25,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
420953,Pennsylvania,Rural,2016-11-24T23:30:00Z,Dark – Not Lighted,41.90491667,-77.24025,"Mud, Dirt, Gravel",Dirt,Curve Left,Level,No,25,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
10096,Alabama,Rural,2016-02-26T22:00:00Z,Dark – Not Lighted,33.18725,-88.19326389,Dry,"Blacktop, Bituminous, or Asphalt",Curve Right,Level,"Yes, Exceeded Speed Limit",90,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
122385,Florida,Urban,2016-10-19T11:24:00Z,Daylight,25.98331944,-80.14245556,Dry,Not Reported,Straight,Level,"Yes, Exceeded Speed Limit",55,Not Distracted,"Under the Influence of Alcohol, Drugs or Medication",No Obstruction Noted,Clear
120424,Florida,Urban,2016-01-08T21:54:00Z,Dark – Not Lighted,28.56843056,-81.30341667,Dry,Not Reported,Straight,Level,No,25,Not Distracted,None/Apparently Normal,No Obstruction Noted,Clear
